word,onyomi,kunyomi,translation,category,level
郎,ロウ,おとこ,son; counter for sons,kanji,n1
結,ケツ,むす.ぶ、ゆ.う、ゆ.わえる,to tie; to bind; to conclude,kanji,n1
氏,シ,うじ、-うじ,family name; surname,kanji,n1
衛,エイ,まも.る,defense; protection,kanji,n1
第,ダイ,,ordinal number prefix; residence,kanji,n1
保,ホ,たも.つ,to preserve; to protect,kanji,n1
義,ギ,,righteousness; justice; meaning,kanji,n1
吉,キチ、キツ,,good luck; joy,kanji,n1
士,シ,さむらい,samurai; gentleman,kanji,n1
藤,トウ、ドウ,ふじ,wisteria,kanji,n1
井,セイ、ショウ,い,well; well crib,kanji,n1
江,コウ,え,creek; inlet; bay,kanji,n1
張,チョウ,は.る,to stretch; to spread,kanji,n1
松,ショウ,まつ,pine tree,kanji,n1
応,オウ,こた.える、あた.える、まさに、おう,answer; yes; OK; respond; agree,kanji,n1
視,シ,み.る,to look; to regard,kanji,n1
態,タイ,わざ.と,attitude; condition; figure,kanji,n1
姿,シ,すがた,figure; form; shape,kanji,n1
皇,コウ、オウ,,emperor,kanji,n1
宮,キュウ、グウ、ク,みや,Shinto shrine; constellations; palace; princess,kanji,n1
離,リ,はな.れる、はな.す,detach; separate; leave,kanji,n1
基,キ,もと、もとい,fundamentals; foundation,kanji,n1
隊,タイ,,group; party; team,kanji,n1
素,ソ、ス,もと,elementary; principle; naked; uncovered,kanji,n1
価,カ、ケ,あたい,value; price,kanji,n1
撃,ゲキ,う.つ,attack; defeat; destroy,kanji,n1
振,シン,ふ.る、ふ.れる,shake; wave; wag; swing,kanji,n1
証,ショウ,あかし,evidence; proof; certificate,kanji,n1
派,ハ,,sect; group; party; dispatch,kanji,n1
僕,ボク,しもべ,I; me; you; manservant,kanji,n1
佐,サ,すけ,assistant; help,kanji,n1
紀,キ,のり,chronicle; account; narrative; history,kanji,n1
統,トウ,す.べる、ほび.る,overall; relationship; ruling; governing,kanji,n1
器,キ,うつわ,utensil; vessel; receptacle; implement; instrument; ability; container; tool; set,kanji,n1
異,イ,こと、こと.なる、け,uncommon; different; queerness; strangeness; wonderful; curious; unusual,kanji,n1
護,ゴ,まも.る,safeguard; protect,kanji,n1
条,ジョウ、デキ,えだ、すじ,article; clause; item; stripe; streak,kanji,n1
独,ドク、トク,ひと.り,single; alone; spontaneously; Germany,kanji,n1
源,ゲン,みなもと,source; origin,kanji,n1
影,エイ,かげ,shadow; silhouette; phantom,kanji,n1
眼,ガン、ゲン,まなこ、め,eyeball,kanji,n1
企,キ,くわだ.てる,plan; project; undertake,kanji,n1
津,シン,つ,haven; port; harbor; ferry,kanji,n1
案,アン,つくえ,plan; suggestion; draft; ponder; fear; proposition; idea; expectation; worry; table; bench,kanji,n1
策,サク,,scheme; plan; policy; whip,kanji,n1
宗,シュウ、ソウ,むね,religion; sect; denomination; main point; origin; essence,kanji,n1
提,テイ、チョウ、ダイ,さ.げる,propose; take along; carry in hand,kanji,n1
昭,ショウ,あき.らか,shining; bright,kanji,n1
密,ミツ,ひそ.か,secrecy; density (pop); minuteness; carefulness,kanji,n1
司,シ,つかさど.る,director; official; govt office; rule; administer,kanji,n1
検,ケン,しら.べる,examination; investigate,kanji,n1
康,コウ,,ease; peace,kanji,n1
沢,タク,さわ、うるお.い、つや,swamp; marsh; brilliance; grace,kanji,n1
秀,シュウ,ひい.でる,excel; excellence; beauty; surpass,kanji,n1
興,コウ、キョウ,おこ.る、おこ.す,entertain; revive; retrieve; interest; pleasure,kanji,n1
率,ソツ、リツ,ひき.いる,ratio; rate; proportion; %; coefficient; factor; lead; command,kanji,n1
評,ヒョウ,,evaluate; criticism; comment,kanji,n1
監,カン,,oversee; official; govt office; rule; administer,kanji,n1
崎,キ,さき、さい、みさき,promontory; cape; spit,kanji,n1
鮮,セン,あざ.やか,fresh; vivid; clear; brilliant; Korea,kanji,n1
激,ゲキ,はげ.しい,violent; get excited; enraged; chafe; incite,kanji,n1
徳,トク,,benevolence; virtue; goodness; commanding respect,kanji,n1
挙,キョ,あ.げる、あ.がる,raise; plan; project; behavior; actions,kanji,n1
志,シ,こころざ.す、こころざし,intention; plan; resolve; aspire; motive; hopes; shilling,kanji,n1
敷,フ,し.く、-し.き,spread; pave; sit; promulgate,kanji,n1
系,ケイ,,lineage; system,kanji,n1
織,ショク、シキ,お.る、お.り、おり、-おり、-お.り,weave; fabric,kanji,n1
製,セイ,,made in...; manufacture,kanji,n1
端,タン,はし、は、はた、ばた、はな,edge; origin; end; point; border; verge; cape,kanji,n1
遺,イ、ユイ,のこ.す,bequeath; leave behind; reserve,kanji,n1
房,ボウ,ふさ,tassel; tuft; fringe; bunch; lock (hair); segment; capsule,kanji,n1
街,ガイ、カイ,まち,street; road; quarter,kanji,n1
尾,ビ,お,tail; end; counter for fish; lower slope of mountain,kanji,n1
株,シュ,かぶ,stocks; stump; shares; stock; counter for small plants,kanji,n1
従,ジュウ、ショウ、ジュ,したが.う、したが.える、より,accompany; obey; submit to; comply; follow; secondary; incidental; subordinate,kanji,n1
敵,テキ,かたき、かな.う,enemy; foe; opponent,kanji,n1
展,テン,のべ.る,unfold; expand,kanji,n1
描,ビョウ,えが.く、か.く,sketch; compose; write; draw; paint,kanji,n1
修,シュウ、シュ,おさ.める、おさ.まる,discipline; conduct oneself well; study; master,kanji,n1
我,ガ,われ、わ、わ.が-、わが-,ego; I; selfish; our; oneself,kanji,n1
載,サイ,の.せる、の.る,ride; board; get on; place; spread; 10^44,kanji,n1
響,キョウ,ひび.く,echo; sound; resound; ring; vibrate,kanji,n1
秘,ヒ,ひ.める、ひそ.か、かく.す,secret; conceal,kanji,n1
攻,コウ,せ.める,aggression; attack,kanji,n1
健,ケン,すこ.やか,healthy; health; strength; persistence,kanji,n1
裁,サイ,た.つ、さば.く,judge; decision; cut out (pattern),kanji,n1
隠,イン、オン,かく.す、かく.し、かく.れる、かか.す,hide; conceal; cover,kanji,n1
環,カン,わ,ring; circle; loop; wheel,kanji,n1
援,エン,たす.ける,abet; help; save,kanji,n1
故,コ,ゆえ、ふる.い、もと,circumstances; therefore; particularly; intentionally; reason; cause; the late; old,kanji,n1
幕,マク、バク,とばり,curtain; bunting; act of play,kanji,n1
督,トク,,coach; command; urge; lead; supervise,kanji,n1
倉,ソウ,くら,godown; warehouse; storehouse; cellar; treasury,kanji,n1
施,シ、セ,ほどこ.す,give; bestow; perform; carry out,kanji,n1
嫌,ケン、ゲン,きら.う、いや,dislike; detest; hate,kanji,n1
