word,onyomi,kunyomi,translation,category,level
同,ドウ,おな.じ,same; agree; equal,kanji,n4
事,ジ,こと、つか.う,matter; thing; fact; business; reason; possibly,kanji,n4
自,ジ、シ,みずか.ら,oneself,kanji,n4
発,ハツ、ホツ,た.つ、あば.く,departure; discharge; publish; emit; start from; disclose,kanji,n4
者,シャ,もの,someone; person,kanji,n4
地,チ、ジ,,ground; earth,kanji,n4
業,ギョウ、ゴウ,わざ,business; vocation; arts; performance,kanji,n4
方,ホウ,かた、がた,direction; person; alternative,kanji,n4
場,ジョウ,ば,location; place,kanji,n4
民,ミン,たみ,people; nation; subjects,kanji,n4
部,ブ,-べ,section; bureau; dept; class; copy; part; portion,kanji,n4
員,イン,,member; employee,kanji,n4
議,ギ,,deliberation; consultation; debate; consideration,kanji,n4
軍,グン,,army; force; troops,kanji,n4
定,テイ、ジョウ,さだ.める、さだ.まる、さだ.か,determine; fix; establish; decide,kanji,n4
性,セイ、ショウ,,sex; gender; nature,kanji,n4
意,イ,,idea; mind; heart; taste; thought; desire; care; liking,kanji,n4
法,ホウ、ハッ、ホッ、フラン,,method; law; rule; principle; model; system,kanji,n4
戦,セン,いくさ、たたか.う、おのの.く、そよ.ぐ、わなな.く,war; battle; match,kanji,n4
最,サイ、シュ,もっと.も,utmost; most; extreme,kanji,n4
現,ゲン,あらわ.れる、あらわ.す、うつつ、うつ.つ,present; existing; actual,kanji,n4
調,チョウ,しら.べる、ととの.う、ととの.える,tune; tone; meter; key (music); writing style; prepare; exorcise; investigate,kanji,n4
化,カ、ケ,ば.ける、ば.かす、ふ.ける、け.する,-ization; to change; to influence,kanji,n4
由,ユ、ユウ、ユイ,よし、よ.る,reason; cause; significance,kanji,n4
真,シン,ま、ま-、まこと,true; reality; Buddhist sect,kanji,n4
官,カン,,bureaucrat; the government; organ,kanji,n4
能,ノウ,よ.く,ability; talent; skill; capacity,kanji,n4
増,ゾウ,ま.す、ま.し、ふ.える、ふ.やす,increase; add; augment; gain; promote,kanji,n4
去,キョ、コ,さ.る、-さ.る,gone; past; quit; leave; elapse; eliminate; divorce,kanji,n4
活,カツ,,lively; resuscitation; being helped; living,kanji,n4
様,ヨウ、ショウ,さま、さん,way; manner; situation; polite suffix,kanji,n4
感,カン,,emotion; feeling; sensation,kanji,n4
党,トウ,,party; faction; clique,kanji,n4
政,セイ、ショウ,まつりごと、まん,politics; government,kanji,n4
期,キ、ゴ,,period; time; date; term,kanji,n4
実,ジツ、シツ,み、みの.る、まこと、みの、みち.る,reality; truth; seed; fruit; nut,kanji,n4
決,ケツ,き.める、-ぎ.め、き.まる、さ.く,decide; fix; agree upon; appoint,kanji,n4
全,ゼン,まった.く、すべ.て、すべて,whole; entire; all; complete; fulfill,kanji,n4
面,メン、ベン,おも、おもて、つら,face; mask; features; surface,kanji,n4
内,ナイ、ダイ,うち,inside; within; between; among; house; home,kanji,n4
米,ベイ、マイ、メエトル,こめ、よね,rice; USA; metre,kanji,n4
有,ユウ、ウ,あ.る,possess; have; exist; happen; occur; approx,kanji,n4
品,ヒン、ホン,しな,article; goods; dignity; article; counter for meal courses,kanji,n4
卒,ソツ、シュツ、シュッ、ソッ,そっ.する、お.える、お.わる、ついに、にわか,graduate; soldier; private; die,kanji,n4
通,ツウ、ツ、カヨ.ウ,とお.る、とお.り、-とお.り、-どお.り、とお.す、とお.し、-どお.し、かよ.う,traffic; pass through; avenue; commute,kanji,n4
固,コ,かた.める、かた.まる、かた.まり、かた.い,harden; set; clot; curdle,kanji,n4
役,ヤク、エキ,,duty; war; campaign; drafted labor; office; service; role,kanji,n4
構,コウ,かま.える、かま.う,posture; build; pretend,kanji,n4
割,カツ,わ.る、わり、わ.り、わ.れる、さ.く,proportion; comparatively; divide; cut; separate; split,kanji,n4
研,ケン,と.ぐ,polish; study of; sharpen,kanji,n4
報,ホウ,,report; news; reward; retribution,kanji,n4
門,モン,かど,gates; counter for cannons,kanji,n4
石,セキ、シャク、コク,いし,stone,kanji,n4
足,ソク,あし、た.りる、た.る、た.す,leg; foot; be sufficient; counter for pairs of footwear,kanji,n4
無,ム、ブ,な.い,nothingness; none; ain't; nothing; nil; not,kanji,n4
公,コウ、ク,おおやけ,public; prince; official; governmental,kanji,n4
共,キョウ,とも、とも.に、-ども,together; both; neither; all; and; alike; with,kanji,n4
保,ホ、ホウ,たも.つ,protect; guarantee; keep; preserve; sustain; support,kanji,n4
整,セイ,ととの.える、ととの.う,organize; arranging; tune; tone; meter; key (music),kanji,n4
済,サイ、セイ,す.む、-ず.み、-ずみ、す.まない、す.ます、-す.ます、す.くう、な.す、わたし、わた.る,finish; come to an end; excusable; need not,kanji,n4
委,イ,ゆだ.ねる,committee; entrust to; leave to; devote; discard,kanji,n4
流,リュウ、ル,なが.れる、なが.れ、なが.す、-なが.す,current; a sink; flow; forfeit,kanji,n4
格,カク、コウ、キャク、ゴウ,,status; rank; capacity; character; case (law; grammar),kanji,n4
労,ロウ,ろう.する、いたわ.る、いた.ずき、ねぎら、つか.れる、ねぎら.う,labor; thank for; reward for; toil; trouble,kanji,n4
働,ドウ,はたら.く,work,kanji,n4
特,トク,,special,kanji,n4
配,ハイ,くば.る,distribute; spouse; exile; rationing,kanji,n4
率,リツ、ソツ、シュツ,ひき.いる,ratio; rate; proportion; %; coefficient; factor,kanji,n4
授,ジュ,さず.ける、さず.かる,instruct; impart; grant; confer,kanji,n4
準,ジュン,,semi-; correspond to; proportionate to; conform; imitate,kanji,n4
際,サイ,きわ、-ぎわ,occasion; side; edge; verge; dangerous; adventurous; indecent; time; when,kanji,n4
産,サン,う.む、う.まれる、うぶ-、む.す,products; bear; give birth; yield; childbirth; native; property,kanji,n4
勝,ショウ,か.つ、-が.ち、まさ.る、すぐ.れる、かつ,victory; win; prevail; excel,kanji,n4
節,セツ、セチ,ふし、-ぶし、のっと,node; season; period; occasion; verse; clause,knji,n4
信,シン,,faith; truth; fidelity; trust,kanji,n4
解,カイ、ゲ,と.く、と.かす、と.ける、ほど.く、ほど.ける、わか.る、さと.る,unravel; notes; key; explanation; understanding; untie; undo; solve; answer; cancel; absolve; explain; minute,kanji,n4
資,シ,,assets; resources; capital; funds; data; be conducive to; contribute to,kanji,n4
訴,ソ,うった.える,accusation; sue; complain of pain; appeal to,kanji,n4
在,ザイ,あ.る,exist; outskirts; suburbs; located in,kanji,n4
宅,タク,,home; house; residence,kanji,n4
害,ガイ,,harm; injury,kanji,n4
支,シ,ささ.える、つか.える、か.う,branch; support; sustain,kanji,n4
育,イク,そだ.つ、そだ.ち、はぐく.む,rear; raise; bring up; educate; grow up,kanji,n4
判,ハン、バン,わか.る,judgement; signature; stamp; seal,kanji,n4
果,カ,はた.す、はた.して、はた.らす、くだ.す、くだ.る、くだ.もの、くだ.り、くだ.す,fruit; reward; carry out; achieve; complete; end; finish; succeed,kanji,n4
想,ソウ、ソ,,concept; think; idea; thought,kanji,n4
次,ジ、シ,つ.ぐ、つぎ,next; order; sequence,kanji,n4
争,ソウ,あらそ.う、いか.でか,contend; dispute; argue,kanji,n4
記,キ,しる.す,scribe; account; narrative,kanji,n4
変,ヘン,か.わる、か.わり、か.える,change; strange,kanji,n4
太,タイ、タ,ふと.い、ふと.る,fat; thick,kanji,n4
打,ダ、ダアス,う.つ、う.ち-、ぶ.つ,strike; hit; knock; pound; dozen,kanji,n4
直,チョク、ジキ、ジカ,ただ.ちに、なお.す、なお.る,straightaway; honesty; frankness; fix; repair,kanji,n4
両,リョウ,てる、ふたつ,both; old Japanese coin; counter for carriages (e.g. in a train); two,kanji,n4
式,シキ,,style; ceremony; rite; function; method; system; form; expression,kanji,n4
確,カク、コウ,たし.か、たし.かめる,assured; certain; definite; reliable; firm,kanji,n4
費,ヒ,つい.える、つい.ゆ,cost; spend; consume; waste,kanji,n4
付,フ,つ.ける、-つ.ける、-づ.ける、つ.け、つ.け-、-つ.け、-づ.け、-づけ、つ.く、-づ.く、つ.き、-つ.き、-つき、-づ.き、-づき,adhere; attach; refer to; append,kanji,n4
府,フ,,borough; urban prefecture; govt office; representative body; storehouse,kanji,n4
統,トウ,す.べる、ほび.る,overall; relationship; ruling; governing,kanji,n4
失,シツ,うしな.う、う.せる,lose; error; fault; disadvantage; loss,kanji,n4
昨,サク,,yesterday; previous,kanji,n4
監,カン,,oversee; official; govt office; rule; administer,kanji,n4
向,コウ,む.く、む.い、-む.き、む.ける、-む.け、む.かう、む.かい、む.こう、む.こう-、むこ、むか.い,yonder; facing; beyond; confront; defy; tend toward; approach,kanji,n4
界,カイ,,world; boundary,kanji,n4
基,キ,もと、もとい,foundation; basis,kanji,n4
第,ダイ、テイ,,No.; residence,kanji,n4
約,ヤク,,promise; approximately; shrink,kanji,n4
状,ジョウ,,status quo; conditions; circumstances; form; appearance,kanji,n4
反,ハン、ホン、タン、ホ,そ.る、そ.らす、かえ.す、かえ.る、-かえ.る,anti-,kanji,n4
追,ツイ,お.う,chase; drive away; follow; pursue; meanwhile,kanji,n4
台,ダイ、タイ,,pedestal; a stand; counter for machines and vehicles,kanji,n4
給,キュウ,たま.う、たも.う,-supply; give; salary; wage,kanji,n4
熱,ネツ,あつ.い,heat; temperature; fever; mania; passion,kanji,n4
貸,タイ,か.す、か.し-、かし-,lend,kanji,n4
悪,アク、オ,わる.い、わる-、あ.し、にく.い、-にく.い、あ.あ、いずくに、いずくんぞ、にく.む,bad; vice; rascal; false; evil; wrong,kanji,n4
試,シ,こころ.みる、ため.す,test; try; attempt; experiment; ordeal,kanji,n4
積,セキ,つ.む、-づ.み、つ.もる、つ.もり,volume; product (x*y); acreage; contents; pile up; stack; load; amass,kanji,n4
験,ケン、ゲン,あかし、しるし、ため.す、ため.し,verification; effect; testing,kanji,n4
具,グ,そな.える、つぶさ.に,tool; utensil; means; possess; ingredients; counter for armor; suits; sets,kanji,n4
守,シュ、ス,まも.る、もり、-もり、かみ,guard; protect; defend; obey,kanji,n4
球,キュウ,たま,ball; sphere,kanji,n4
職,ショク,,post; employment; work,kanji,n4
早,ソウ、サッ,はや.い、はや、はや-、はや.まる、はや.める、さ-,early; fast,kanji,n4
映,エイ,うつ.る、うつ.す、は.える、-ば.え,reflect; reflection; projection,kanji,n4
村,ソン,むら,village; town,kanji,n4
心,シン,こころ、-ごころ,heart; mind; spirit,kanji,n4
橋,キョウ,はし,bridge,kanji,n4
他,タ,ほか,other; another; the others,kanji,n4
医,イ,,doctor; medicine,kanji,n4
習,シュウ、ジュ,なら.う、なら.い,learn,kanji,n4
近,キン、コン,ちか.い,near; early; akin; tantamount,kanji,n4
